epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2082.14,0.90566,0.79721,1.25156,0.83785,0.82837,0.89986,0.6519,0.99789,0.69985,1.35004,0.000848969,0.000848969,0.000848969
43,2131.53,0.91742,0.78039,1.25684,0.8951,0.80618,0.89188,0.63645,1.02874,0.71957,1.36867,0.000834822,0.000834822,0.000834822
44,2180.87,0.89646,0.77431,1.24416,0.85801,0.79714,0.89113,0.64233,0.98749,0.7067,1.36377,0.000820675,0.000820675,0.000820675
45,2230.18,0.89501,0.759,1.24046,0.86845,0.79207,0.88317,0.6417,0.99502,0.72731,1.36007,0.000806528,0.000806528,0.000806528
46,2279.54,0.88736,0.76472,1.23186,0.85709,0.80228,0.88228,0.62758,1.03236,0.73418,1.40604,0.00079238,0.00079238,0.00079238
47,2328.91,0.88657,0.75086,1.23094,0.80889,0.84918,0.88745,0.63824,1.01981,0.7357,1.36938,0.000778233,0.000778233,0.000778233
48,2378.29,0.85702,0.71441,1.21343,0.87747,0.76463,0.87585,0.63614,1.01886,0.77892,1.37193,0.000764086,0.000764086,0.000764086
49,2427.65,0.87662,0.74087,1.22979,0.83921,0.84905,0.88824,0.64692,1.01907,0.70028,1.38297,0.000749939,0.000749939,0.000749939
50,2477.07,0.85798,0.72218,1.21713,0.83551,0.83409,0.87419,0.63851,1.0208,0.71143,1.38309,0.000735792,0.000735792,0.000735792
51,2526.45,0.82579,0.68011,1.20357,0.83961,0.83714,0.87592,0.63886,1.02169,0.74525,1.38348,0.000721645,0.000721645,0.000721645
52,2575.91,0.82984,0.69701,1.19681,0.81071,0.8034,0.87137,0.63031,1.03803,0.74773,1.39312,0.000707498,0.000707498,0.000707498
53,2625.3,0.85691,0.68233,1.21314,0.80571,0.84625,0.8825,0.64754,1.00808,0.71878,1.35834,0.000693351,0.000693351,0.000693351
54,2674.67,0.83861,0.68542,1.20371,0.79501,0.86395,0.8757,0.64197,1.01869,0.71808,1.38487,0.000679204,0.000679204,0.000679204
55,2723.99,0.82925,0.6811,1.1925,0.81269,0.82179,0.8836,0.64104,1.01858,0.71911,1.38143,0.000665057,0.000665057,0.000665057
56,2773.33,0.79129,0.65234,1.16965,0.89428,0.76856,0.88729,0.64382,1.00544,0.73739,1.38133,0.000650909,0.000650909,0.000650909
57,2822.71,0.80275,0.65471,1.17801,0.85179,0.82442,0.88867,0.65219,1.00332,0.69062,1.3743,0.000636762,0.000636762,0.000636762
58,2872.15,0.8115,0.66125,1.18983,0.87727,0.79341,0.8747,0.63926,1.02135,0.738,1.39518,0.000622615,0.000622615,0.000622615
59,2921.51,0.80201,0.64431,1.17598,0.81431,0.8437,0.88008,0.63836,1.01178,0.71337,1.38836,0.000608468,0.000608468,0.000608468
60,2970.9,0.78885,0.62409,1.16442,0.86402,0.82765,0.87658,0.64302,0.99048,0.7073,1.36926,0.000594321,0.000594321,0.000594321
61,3020.24,0.78859,0.63843,1.16779,0.8646,0.80178,0.8802,0.64618,0.99025,0.74107,1.37467,0.000580174,0.000580174,0.000580174
62,3069.6,0.7779,0.61039,1.16662,0.86293,0.81205,0.88016,0.65092,1.00392,0.69698,1.37603,0.000566027,0.000566027,0.000566027
63,3118.95,0.76915,0.6068,1.15943,0.81925,0.83144,0.87228,0.64846,0.95895,0.70567,1.33849,0.00055188,0.00055188,0.00055188
64,3168.31,0.76662,0.60015,1.16646,0.82092,0.81828,0.85616,0.619,1.02912,0.73744,1.40897,0.000537733,0.000537733,0.000537733
65,3217.68,0.76529,0.6113,1.15738,0.8547,0.80573,0.85976,0.62721,0.99606,0.71687,1.39027,0.000523586,0.000523586,0.000523586
66,3267.02,0.73803,0.59571,1.15256,0.88236,0.79192,0.88805,0.64496,1.02622,0.74199,1.4054,0.000509438,0.000509438,0.000509438
67,3316.35,0.75082,0.58543,1.14955,0.8664,0.81768,0.88681,0.65556,0.99299,0.70225,1.38533,0.000495291,0.000495291,0.000495291
68,3365.68,0.71066,0.5602,1.12992,0.87297,0.83805,0.88927,0.65479,1.00012,0.69335,1.40705,0.000481144,0.000481144,0.000481144
69,3415.12,0.7293,0.57351,1.13976,0.89136,0.78042,0.88606,0.64909,0.99395,0.68565,1.37521,0.000466997,0.000466997,0.000466997
70,3464.72,0.70861,0.56558,1.12827,0.85886,0.81152,0.89455,0.64925,0.98674,0.6848,1.36854,0.00045285,0.00045285,0.00045285
71,3514.07,0.71036,0.53963,1.12776,0.87068,0.80477,0.8836,0.65785,0.98287,0.69179,1.38858,0.000438703,0.000438703,0.000438703
72,3563.5,0.70832,0.54755,1.11813,0.85325,0.81465,0.88575,0.65314,0.98881,0.68503,1.36903,0.000424556,0.000424556,0.000424556
73,3612.84,0.69501,0.5522,1.11487,0.84984,0.83854,0.90544,0.66515,0.99347,0.68412,1.37535,0.000410409,0.000410409,0.000410409
74,3662.29,0.68749,0.54191,1.11614,0.88564,0.80176,0.89782,0.6612,1.00074,0.65831,1.38082,0.000396262,0.000396262,0.000396262
75,3711.7,0.6829,0.52589,1.10853,0.87456,0.8177,0.88476,0.65374,0.9686,0.70045,1.35645,0.000382115,0.000382115,0.000382115
76,3761.17,0.68856,0.53241,1.11486,0.88446,0.83585,0.88594,0.65511,0.97738,0.69288,1.38062,0.000367967,0.000367967,0.000367967
77,3810.72,0.67562,0.52267,1.10802,0.86434,0.84221,0.88327,0.64893,0.99658,0.70475,1.37466,0.00035382,0.00035382,0.00035382
78,3860.12,0.66219,0.50902,1.09431,0.84928,0.82437,0.87803,0.6522,0.98615,0.73575,1.38761,0.000339673,0.000339673,0.000339673
79,3909.5,0.66584,0.51834,1.10445,0.88844,0.79516,0.89011,0.64622,0.97549,0.68586,1.37664,0.000325526,0.000325526,0.000325526
80,3958.93,0.65809,0.49001,1.09735,0.88969,0.80134,0.89208,0.66013,0.97777,0.70496,1.38713,0.000311379,0.000311379,0.000311379
81,4008.29,0.6413,0.49325,1.08061,0.84816,0.83798,0.88033,0.65954,0.96541,0.68331,1.36283,0.000297232,0.000297232,0.000297232
82,4057.63,0.63805,0.49421,1.08063,0.87648,0.8347,0.88652,0.66675,0.94348,0.66377,1.33235,0.000283085,0.000283085,0.000283085
83,4106.96,0.64157,0.49467,1.09236,0.86865,0.81721,0.87754,0.66109,0.9375,0.67268,1.34994,0.000268938,0.000268938,0.000268938
84,4156.25,0.63001,0.48326,1.07928,0.87786,0.82521,0.89283,0.67583,0.95418,0.65778,1.35818,0.000254791,0.000254791,0.000254791
85,4205.85,0.61724,0.46349,1.07408,0.86925,0.84728,0.89771,0.67646,0.94527,0.64228,1.36134,0.000240644,0.000240644,0.000240644
86,4255.37,0.60362,0.45558,1.07129,0.86566,0.84817,0.89419,0.67025,0.96007,0.67341,1.3735,0.000226497,0.000226497,0.000226497
87,4304.88,0.6181,0.47215,1.07409,0.89121,0.84243,0.89472,0.67125,0.97409,0.66273,1.37835,0.000212349,0.000212349,0.000212349
88,4354.21,0.60171,0.46975,1.0667,0.89579,0.81216,0.877,0.65864,0.97591,0.68715,1.37895,0.000198202,0.000198202,0.000198202
89,4403.72,0.59362,0.44693,1.07257,0.87471,0.84442,0.89344,0.67454,0.96932,0.66115,1.3742,0.000184055,0.000184055,0.000184055
90,4453.16,0.58692,0.43473,1.05238,0.87747,0.82054,0.88925,0.67123,0.95202,0.67398,1.37313,0.000169908,0.000169908,0.000169908
91,4502.71,0.43111,0.28757,0.9517,0.8862,0.82996,0.88222,0.66353,0.96336,0.68915,1.39662,0.000155761,0.000155761,0.000155761
92,4551.98,0.42403,0.28107,0.95157,0.87515,0.80781,0.88107,0.66354,0.95812,0.6864,1.40444,0.000141614,0.000141614,0.000141614
93,4601.24,0.40621,0.26281,0.93955,0.85632,0.84305,0.89039,0.66536,0.96825,0.68204,1.40805,0.000127467,0.000127467,0.000127467
94,4650.63,0.39672,0.26172,0.92764,0.85946,0.85367,0.88691,0.66847,0.9581,0.67752,1.41256,0.00011332,0.00011332,0.00011332
95,4699.88,0.40281,0.26405,0.93238,0.85765,0.82503,0.89115,0.66886,0.95904,0.69773,1.41878,9.91726e-05,9.91726e-05,9.91726e-05
96,4749.26,0.38676,0.25285,0.92713,0.84115,0.84341,0.89112,0.66721,0.96337,0.68315,1.4307,8.50255e-05,8.50255e-05,8.50255e-05
97,4798.52,0.38251,0.2491,0.91922,0.87047,0.84269,0.89288,0.66716,0.9734,0.68179,1.43094,7.08784e-05,7.08784e-05,7.08784e-05
98,4847.86,0.3702,0.24788,0.9134,0.86739,0.82754,0.89304,0.67024,0.97852,0.67754,1.43618,5.67313e-05,5.67313e-05,5.67313e-05
99,4897.18,0.35745,0.23028,0.90446,0.85114,0.8354,0.89029,0.66754,0.97744,0.6749,1.44177,4.25842e-05,4.25842e-05,4.25842e-05
100,4946.57,0.36427,0.23659,0.91281,0.88312,0.80644,0.88349,0.66406,0.97378,0.6891,1.44187,2.84371e-05,2.84371e-05,2.84371e-05
